threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
Account Hijacking,IdM,-0.0463634142125372,-0.037992467061063274,-0.041056035260252706,OWG,0.041056035260252706
APT,NLP/LLM,0.03599493785043068,0.03384645709363193,0.03962192884918086,OWG,0.03962192884918086
Password Attack,NLP/LLM,0.022707787668040057,0.018709603573383738,0.03667877165593972,OWG,0.03667877165593972
Trojan,SMF,-0.034433073976798255,-0.023975977433132817,-0.033362841949836075,OWG,0.033362841949836075
Vulnerability,NLP/LLM,0.014843806981289084,0.009632687892981199,0.03243667990682849,OWG,0.03243667990682849
Account Hijacking,CAPTCHA,-0.04394611383199209,-0.044849179539714394,-0.030289241778064874,OWG,0.030289241778064874
DDoS,NLP/LLM,0.021169562842055956,0.017990627380653424,0.030223323341840625,OWG,0.030223323341840625
Backdoor,IDS/IPS,0.019395050270670216,0.02675251685180576,0.023072125803001702,OWG,0.023072125803001702
Session Hijacking,IBE,-0.03584974975820877,-0.017772167743882943,-0.01964659027726684,OWG,0.01964659027726684
Phishing,NLP/LLM,0.01471345313291956,0.013004374426563095,0.016520607171312058,OWG,0.016520607171312058
Password Attack,GA,0.012021444421050659,0.011113115372935226,0.016487032373091386,OWG,0.016487032373091386
Vulnerability,PMT,0.006673462590406669,-0.018423506175650556,0.01629086257526245,OWG,0.01629086257526245
Malware,SBX,0.013028098837032412,0.008063674472611785,0.01346338520915392,OWG,0.01346338520915392
DNS Spoofing,ML/DL,-0.02742958169144173,-0.004598329386059752,-0.012919042129978372,OWG,0.012919042129978372
Vulnerability,VM,-0.013490064331110644,-0.010523495886563048,-0.011357251434639865,OWG,0.011357251434639865
Insider Threat,DLD,0.006341622966718169,0.005113027761819562,0.010593205848163414,OWG,0.010593205848163414
Session Hijacking,Https,0.009279307361420436,0.025717770707422954,0.010347831208074152,OWG,0.010347831208074152
Password Attack,PP,0.007599346465644104,0.00739299024956581,0.010007909335881462,OWG,0.010007909335881462
Brute Force Attack,CAPTCHA,0.004061537109570422,-0.011489042701531624,0.009818064710170308,OWG,0.009818064710170308
DDoS,BC,0.008635715543903438,0.006537407606966694,0.009344425051144809,OWG,0.009344425051144809
Password Attack,PH,0.007907063667371863,0.00879642792065056,0.008378623586419007,OWG,0.008378623586419007
Password Attack,OTP,-0.023794404029945232,-0.024176595886340014,-0.007151853788635393,OWG,0.007151853788635393
MITM,CAPTCHA,-0.006783679170705122,-0.016878825424513622,0.006973420498045733,OWG,0.006973420498045733
Account Hijacking,NLP/LLM,-0.0011729500663833214,0.004147225860804303,0.0040135155139018235,OWG,0.0040135155139018235
DNS Spoofing,DNSSEC,-0.024638787685418256,0.002256802743583678,-0.003891465715008776,OWG,0.003891465715008776
Vulnerability,VS,-0.000802845383118117,-0.003937131755691788,0.003227978901082553,OWG,0.003227978901082553
Password Attack,CAPTCHA,-0.02006537609756871,-0.030286801827134956,0.002376014363973019,OWG,0.002376014363973019
Vulnerability,VA,0.00016782268455871793,-0.00017195150719758376,0.002037163870066333,OWG,0.002037163870066333
MITM,VPN,-0.007204617519464949,-0.007829363952925708,0.0018323229901149503,OWG,0.0018323229901149503
Vulnerability,SC,-0.0028851415589587113,-0.004554714066268016,-0.0015027112564630167,OWG,0.0015027112564630167
Password Attack,PSM,-0.007441666859428921,-0.007841807287287228,-0.0014389790814954468,OWG,0.0014389790814954468
Vulnerability,CFI,-0.010942192488280064,-0.01681232382473603,-0.0011472632259068212,OWG,0.0011472632259068212
Botnet,SDN,-0.16798572284293534,-0.18228900526831918,-0.2563278209245664,SNG,0.2563278209245664
Botnet,TS,-0.1649445380386213,-0.1749299155412201,-0.25423073895276244,SNG,0.25423073895276244
Botnet,BH,-0.1679860899059025,-0.18887657003662425,-0.24942704483912137,SNG,0.24942704483912137
Botnet,PT,-0.16102307948238678,-0.1734658886425767,-0.248957478946346,SNG,0.248957478946346
Botnet,PF,-0.16262234493651903,-0.17196506201652975,-0.2475722165132419,SNG,0.2475722165132419
Botnet,CAPTCHA,-0.18738743989381954,-0.20789064420603806,-0.2474498224442442,SNG,0.2474498224442442
Botnet,GT,-0.16830509856869477,-0.1822527471638065,-0.24688761943550053,SNG,0.24688761943550053
Botnet,GM,-0.16004036358945684,-0.1734712816585969,-0.24528026357433455,SNG,0.24528026357433455
Botnet,AD,-0.15577351137076725,-0.1668417732559618,-0.2439451288209106,SNG,0.2439451288209106
Botnet,RL,-0.16452550509280892,-0.17344600923032516,-0.24317053936645835,SNG,0.24317053936645835
Botnet,HP,-0.15910288206348377,-0.1720987364761567,-0.2430475150695307,SNG,0.2430475150695307
Botnet,BT,-0.16283287319594006,-0.17062885727992816,-0.2424925870206798,SNG,0.2424925870206798
Botnet,BC,-0.15714812342636328,-0.17034745857920608,-0.23402596344297333,SNG,0.23402596344297333
Botnet,RC,-0.15421397309181634,-0.16129948434594404,-0.23328699207405434,SNG,0.23328699207405434
Botnet,NLP/LLM,-0.1446142761282108,-0.15889423880551937,-0.21314706515227755,SNG,0.21314706515227755
Botnet,IDS/IPS,-0.14802699906598688,-0.1501152339515314,-0.20076781831534854,SNG,0.20076781831534854
Botnet,ML/DL,-0.1542724333084579,-0.16179342962020762,-0.19448185426447795,SNG,0.19448185426447795
Dropper,AW,-0.09466848677247157,-0.10554799890056858,-0.14932500661607154,SNG,0.14932500661607154
Dropper,FIM,-0.0876685375969468,-0.1043903354685865,-0.14755851231110242,SNG,0.14755851231110242
Dropper,PT,-0.07464688218386789,-0.082628284662679,-0.13991344037669212,SNG,0.13991344037669212
Dropper,CS,-0.07212154217566913,-0.08286800100824755,-0.13680217967215927,SNG,0.13680217967215927
Dropper,SBX,-0.09778999113424695,-0.10392903299584465,-0.1268766259656936,SNG,0.1268766259656936
Adversarial Attack,BN,-0.031855747452448936,-0.03970862748830729,-0.11102292650470595,SNG,0.11102292650470595
Adversarial Attack,TAI,-0.040175454288799574,-0.045637922720859335,-0.11081832662225859,SNG,0.11081832662225859
Adversarial Attack,AdT,-0.039198566173335565,-0.04072938352457278,-0.10848081411090456,SNG,0.10848081411090456
Dropper,NLP/LLM,-0.058238078829691876,-0.06805663482562169,-0.10410302658262365,SNG,0.10410302658262365
Adversarial Attack,OD,-0.032367236908053654,-0.03766421262336797,-0.10231603281114963,SNG,0.10231603281114963
Adversarial Attack,DD,-0.029652668904494806,-0.03497016379112289,-0.10117679601160479,SNG,0.10117679601160479
Adversarial Attack,DS,-0.027095562259935636,-0.03224865437647655,-0.09948383705064201,SNG,0.09948383705064201
Adversarial Attack,AD,-0.0199387391092307,-0.025270659452678552,-0.0969561532868169,SNG,0.0969561532868169
Disinformation,HG,-0.01690727639125243,-0.02453820069575734,-0.09675251573545562,SNG,0.09675251573545562
Adversarial Attack,DA,-0.02359756914278403,-0.030363742496351875,-0.09674844768615166,SNG,0.09674844768615166
Disinformation,CA,-0.018166097753700105,-0.020776004338432075,-0.09539996213974082,SNG,0.09539996213974082
Ransomware,AW,-0.03643706986609932,-0.049189014121945436,-0.0948547446691393,SNG,0.0948547446691393
Adversarial Attack,DR,-0.02085795426448354,-0.025305047339210157,-0.09475030628151786,SNG,0.09475030628151786
Disinformation,GT,-0.022799914341249894,-0.035609229687328686,-0.09387713295499896,SNG,0.09387713295499896
Disinformation,DT,-0.020174885455179592,-0.028093722100779112,-0.09008164124192779,SNG,0.09008164124192779
Disinformation,IR,-0.01453513857186974,-0.022303212223780528,-0.08987415614578227,SNG,0.08987415614578227
Zero-day,FIM,-0.02217537118488533,-0.031153101293912282,-0.08820015304293287,SNG,0.08820015304293287
Ransomware,SA,-0.021574220938076222,-0.027988324116398382,-0.08780737705054247,SNG,0.08780737705054247
Adversarial Attack,DP,-0.02185732308079234,-0.024724337648815736,-0.08713088061903769,SNG,0.08713088061903769
Ransomware,PT,-0.016415465277495645,-0.026269299884055863,-0.0854431784297599,SNG,0.0854431784297599
Dropper,ML/DL,-0.06789623600993902,-0.07095582564030994,-0.08543781569482407,SNG,0.08543781569482407
Adversarial Attack,NI,-0.01811977527547819,-0.024074251829358174,-0.08527357541809095,SNG,0.08527357541809095
Adversarial Attack,SS,-0.019107704896615712,-0.020818420493451905,-0.08320993565641134,SNG,0.08320993565641134
Ransomware,AC,-0.010807201335400557,-0.020013553611120283,-0.08176955088293612,SNG,0.08176955088293612
Disinformation,DP,-0.012186911114884022,-0.019651933975621167,-0.08110936967262983,SNG,0.08110936967262983
Disinformation,BC,-0.011642939198918437,-0.023703941102728294,-0.08101547696247179,SNG,0.08101547696247179
Ransomware,AD,-0.011165897165876099,-0.01964518449744096,-0.08043082830432452,SNG,0.08043082830432452
Disinformation,DLT,-0.011511659756231196,-0.028464972224320224,-0.07983687880033538,SNG,0.07983687880033538
Ransomware,DT,-0.021072455477733305,-0.02754065081873609,-0.07957782720584325,SNG,0.07957782720584325
Targeted Attack,DRM,-0.027388900884742846,-0.04232543093859684,-0.07936265278513892,SNG,0.07936265278513892
Zero-day,GT,-0.016435734858114382,-0.018177909009234588,-0.07848522159767707,SNG,0.07848522159767707
Ransomware,CR,-0.012981616586920264,-0.02285626483760612,-0.07839209906102262,SNG,0.07839209906102262
Targeted Attack,MFA,-0.018394389111619964,-0.03939079280830072,-0.07509785268235636,SNG,0.07509785268235636
Disinformation,SI,-0.008838316228032847,-0.019779550724282263,-0.07436627604382927,SNG,0.07436627604382927
Ransomware,DAS,-0.013239710719229858,-0.021308689333267666,-0.07428831994584006,SNG,0.07428831994584006
Zero-day,PrP,-0.010242991510770164,-0.011519055465888476,-0.07283032780814953,SNG,0.07283032780814953
Targeted Attack,LP,-0.008410639477457793,-0.01992075749362726,-0.07158441894319105,SNG,0.07158441894319105
Ransomware,BC,-0.012540509221472151,-0.02315086982068527,-0.07051166292638726,SNG,0.07051166292638726
Adversarial Attack,NLP/LLM,-0.008779503866674235,-0.017323125002236133,-0.06615808961818384,SNG,0.06615808961818384
Ransomware,PMT,-0.008177006314202049,-0.039753844115630294,-0.06577858196725749,SNG,0.06577858196725749
Targeted Attack,PT,-0.0037889460791861083,-0.01847952913547384,-0.06573273542015136,SNG,0.06573273542015136
Targeted Attack,GT,-0.01107096516549407,-0.02726638765670364,-0.06366287590930587,SNG,0.06366287590930587
